學號,姓名,生日,性別(F/M),學校,科系
221001,Ken,2013/12/21,M,NTNU,家裡蹲
221001,Admas,2013/12/21,M,NTNU,家裡蹲
221001,Helen,2013/12/21,F,NTNU,家裡蹲
221001,Jay,2013/12/21,M,NTNU,家裡蹲
221001,May,2013/12/21,F,NTNU,家裡蹲
221001,Ken,2013/12/21,M,NTNU,家裡蹲
221001,Admas,2013/12/21,M,NTNU,家裡蹲
221001,Helen,2013/12/21,F,NTNU,家裡蹲
221001,Jay,2013/12/21,M,NTNU,家裡蹲
221001,May,2013/12/21,F,NTNU,家裡蹲
221001,Ken,2013/12/21,M,NTNU,家裡蹲
221001,Admas,2013/12/21,M,NTNU,家裡蹲
221001,Helen,2013/12/21,F,NTNU,家裡蹲
221001,Jay,2013/12/21,M,NTNU,家裡蹲
221001,May,2013/12/21,F,NTNU,家裡蹲
221001,Ken,2013/12/21,M,NTNU,家裡蹲
221001,Admas,2013/12/21,M,NTNU,家裡蹲
221001,Helen,2013/12/21,F,NTNU,家裡蹲
221001,Jay,2013/12/21,M,NTNU,家裡蹲
221001,May,2013/12/21,F,NTNU,家裡蹲
221001,Frank,2013/12/21,M,NTNU,家裡蹲
221001,Joy,2013/12/21,F,NTNU,家裡蹲
